algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,9442,8
QuickSort,random,1000,0,11462,7
QuickSelect,random,1000,0,3871,1
MergeSort,random,10000,2,126987,11
QuickSort,random,10000,1,155745,9
QuickSelect,random,10000,0,40005,1
MergeSort,random,100000,12,1638815,14
QuickSort,random,100000,12,2000511,12
QuickSelect,random,100000,2,444179,1
MergeSort,random,1000000,123,19888911,18
QuickSort,random,1000000,101,25408509,13
QuickSelect,random,1000000,10,1625039,1
MergeSort,sorted,1000,0,4236,8
QuickSort,sorted,1000,0,11641,8
QuickSelect,sorted,1000,0,6507,1
MergeSort,sorted,10000,0,59248,11
QuickSort,sorted,10000,0,161639,9
QuickSelect,sorted,10000,0,37267,1
MergeSort,sorted,100000,2,744016,14
QuickSort,sorted,100000,5,2242611,12
QuickSelect,sorted,100000,0,574924,1
MergeSort,sorted,1000000,36,9071040,18
QuickSort,sorted,1000000,57,25103716,14
QuickSelect,sorted,1000000,4,2469588,1
MergeSort,duplicates,1000,0,9156,8
QuickSort,duplicates,1000,0,3055,4
QuickSelect,duplicates,1000,0,2407,1
MergeSort,duplicates,10000,0,121471,11
QuickSort,duplicates,10000,0,32869,3
QuickSelect,duplicates,10000,0,19985,1
MergeSort,duplicates,100000,5,1562606,14
QuickSort,duplicates,100000,1,329584,3
QuickSelect,duplicates,100000,0,330439,1
MergeSort,duplicates,1000000,62,18922935,18
QuickSort,duplicates,1000000,12,3700130,3
QuickSelect,duplicates,1000000,9,2700194,1
